FEATURE,IMPORTANCE
EXT_SOURCE_3,0.042529073
EXT_SOURCE_2,0.036230758
NAME_EDUCATION_TYPE_Higher education,0.02166423
BUREAU_MEAN_DAYS_CREDIT,0.021319479
EXT_SOURCE_1,0.020187177
NAME_CONTRACT_TYPE_Cash loans,0.018112794
FLAG_DOCUMENT_3,0.017579265
NAME_EDUCATION_TYPE_Secondary / secondary special,0.016471865
CODE_GENDER_F,0.015607835
BUREAU_ACTIVE_LOAN_RATIO,0.015346008
CREDIT_ANNUITY_RATIO,0.013865833
DAYS_EMPLOYED,0.013476867
AGE,0.012678376
NAME_CONTRACT_TYPE_Revolving loans,0.012508556
OCCUPATION_TYPE_Sales staff,0.011939794
EMPLOYMENT_YEARS,0.011861848
DEF_60_CNT_SOCIAL_CIRCLE,0.0114135
BUREAU_ACTIVE_LOAN_COUNT,0.011266735
CODE_GENDER_M,0.011241775
AMT_GOODS_PRICE,0.011143729
FLAG_PHONE,0.011056915
NAME_INCOME_TYPE_Working,0.010927367
BUREAU_DEBT_LOAN_COUNT,0.010596983
NAME_FAMILY_STATUS_Married,0.010588
REGION_RATING_CLIENT,0.01055343
NAME_INCOME_TYPE_State servant,0.010269039
HAS_BUREAU_HISTORY,0.010138779
EMPLOYMENT_AGE_RATIO,0.010072347
REGION_RATING_CLIENT_W_CITY,0.00987558
OBS_60_CNT_SOCIAL_CIRCLE,0.009772247
AMT_ANNUITY,0.009669518
YEARS_BEGINEXPLUATATION_MEDI,0.009583452
ANNUITY_INCOME_RATIO,0.009295921
DAYS_ID_PUBLISH,0.009111816
YEARS_BEGINEXPLUATATION_MODE,0.009074951
ORGANIZATION_TYPE_Self-employed,0.00903631
AMT_CREDIT,0.008958746
FLAG_DOCUMENT_8,0.00879932
BUREAU_TOTAL_CREDIT,0.00871848
YEARS_BEGINEXPLUATATION_AVG,0.008713456
DAYS_BIRTH,0.008600648
CREDIT_INCOME_RATIO,0.008592059
BASEMENTAREA_AVG,0.008508082
OBS_30_CNT_SOCIAL_CIRCLE,0.008455037
DAYS_LAST_PHONE_CHANGE,0.008415336
BUREAU_LOAN_COUNT,0.008387076
TOTALAREA_MODE,0.008335024
FLAG_OWN_CAR_N,0.008326657
BUREAU_DEBT_CREDIT_RATIO,0.008275003
NONLIVINGAREA_MEDI,0.008217751
REGION_POPULATION_RELATIVE,0.008130151
ELEVATORS_AVG,0.008079152
OCCUPATION_TYPE_Core staff,0.007999315
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.007973074
BASEMENTAREA_MODE,0.007911361
OCCUPATION_TYPE_Drivers,0.007852764
DAYS_REGISTRATION,0.0077514052
ELEVATORS_MODE,0.0077502755
DEF_30_CNT_SOCIAL_CIRCLE,0.007681161
BUREAU_MEAN_CREDIT,0.00764376
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0075499867
WALLSMATERIAL_MODE_Panel,0.0075329714
"WALLSMATERIAL_MODE_Stone, brick",0.007391328
FLOORSMAX_AVG,0.0073472457
HOUSETYPE_MODE_block of flats,0.0073220856
BUREAU_MAX_CREDIT,0.0072927214
BUREAU_TOTAL_DEBT,0.0072629303
BASEMENTAREA_MEDI,0.007228707
HOUR_APPR_PROCESS_START,0.0072080838
INCOME_PER_PERSON,0.0070906626
CNT_CHILDREN,0.006800393
LANDAREA_AVG,0.006593843
FLAG_OWN_CAR_Y,0.006584488
LIVINGAREA_AVG,0.006460953
APARTMENTS_MODE,0.0064359
OCCUPATION_TYPE_Laborers,0.006419163
LANDAREA_MODE,0.006367062
ELEVATORS_MEDI,0.006342492
NONLIVINGAREA_AVG,0.006291154
LIVE_CITY_NOT_WORK_CITY,0.0061892504
LIVINGAREA_MODE,0.006181676
AMT_INCOME_TOTAL,0.006180627
NAME_TYPE_SUITE_Unaccompanied,0.006095813
LANDAREA_MEDI,0.006085493
NAME_HOUSING_TYPE_Municipal apartment,0.006057697
ORGANIZATION_TYPE_School,0.005964248
APARTMENTS_AVG,0.0059196474
FLOORSMAX_MODE,0.005842511
OCCUPATION_TYPE_Managers,0.005825555
NAME_EDUCATION_TYPE_Lower secondary,0.0057357303
NAME_EDUCATION_TYPE_Incomplete higher,0.0057221013
FLAG_EMAIL,0.0057151504
LIVINGAREA_MEDI,0.0057072174
NAME_HOUSING_TYPE_With parents,0.0056787734
BUREAU_CLOSED_LOAN_COUNT,0.005646788
FLAG_WORK_PHONE,0.0055439873
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0052489135
CNT_FAM_MEMBERS,0.005181799
AMT_REQ_CREDIT_BUREAU_YEAR,0.0049895626
ORGANIZATION_TYPE_Business Entity Type 3,0.0049192794
NAME_FAMILY_STATUS_Single / not married,0.0047885384
NONLIVINGAREA_MODE,0.004682291
ENTRANCES_MODE,0.004373865
APARTMENTS_MEDI,0.0043254863
ORGANIZATION_TYPE_Other,0.004301581
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0042596897
REG_CITY_NOT_LIVE_CITY,0.0039841263
ENTRANCES_AVG,0.0039359867
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0035479784
AMT_REQ_CREDIT_BUREAU_MON,0.0030463643
REG_CITY_NOT_WORK_CITY,0.0026568922
REG_REGION_NOT_LIVE_REGION,0.0
FLAG_EMP_PHONE,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
REG_REGION_NOT_WORK_REGION,0.0
BUREAU_CREDIT_PROLONG_COUNT,0.0
BUREAU_MAX_DAYS_OVERDUE,0.0
BUREAU_OVERDUE_LOAN_RATIO,0.0
BUREAU_OVERDUE_LOAN_COUNT,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
FLAG_DOCUMENT_6,0.0
ENTRANCES_MEDI,0.0
FLOORSMAX_MEDI,0.0
FLAG_DOCUMENT_5,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Commercial associate,0.0
NAME_INCOME_TYPE_Pensioner,0.0
NAME_HOUSING_TYPE_Rented apartment,0.0
NAME_HOUSING_TYPE_Office apartment,0.0
NAME_HOUSING_TYPE_House / apartment,0.0
NAME_HOUSING_TYPE_Co-op apartment,0.0
NAME_FAMILY_STATUS_Unknown,0.0
NAME_FAMILY_STATUS_Widow,0.0
NAME_FAMILY_STATUS_Civil marriage,0.0
NAME_FAMILY_STATUS_Separated,0.0
NAME_EDUCATION_TYPE_Academic degree,0.0
NAME_TYPE_SUITE_Other_B,0.0
NAME_TYPE_SUITE_Other_A,0.0
NAME_INCOME_TYPE_Businessman,0.0
OCCUPATION_TYPE_High skill tech staff,0.0
OCCUPATION_TYPE_HR staff,0.0
OCCUPATION_TYPE_Cooking staff,0.0
OCCUPATION_TYPE_Accountants,0.0
OCCUPATION_TYPE_Realty agents,0.0
OCCUPATION_TYPE_Private service staff,0.0
OCCUPATION_TYPE_Medicine staff,0.0
OCCUPATION_TYPE_Low-skill Laborers,0.0
OCCUPATION_TYPE_IT staff,0.0
OCCUPATION_TYPE_Cleaning staff,0.0
OCCUPATION_TYPE_Waiters/barmen staff,0.0
OCCUPATION_TYPE_Security staff,0.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0
OCCUPATION_TYPE_Secretaries,0.0
"NAME_TYPE_SUITE_Spouse, partner",0.0
FLAG_OWN_REALTY_N,0.0
NAME_TYPE_SUITE_Group of people,0.0
FLAG_OWN_REALTY_Y,0.0
NAME_TYPE_SUITE_Children,0.0
NAME_TYPE_SUITE_Family,0.0
ORGANIZATION_TYPE_Business Entity Type 2,0.0
ORGANIZATION_TYPE_Business Entity Type 1,0.0
ORGANIZATION_TYPE_Bank,0.0
ORGANIZATION_TYPE_Agriculture,0.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0
ORGANIZATION_TYPE_Advertising,0.0
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Industry: type 1,0.0
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Industry: type 11,0.0
ORGANIZATION_TYPE_Construction,0.0
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Government,0.0
ORGANIZATION_TYPE_Hotel,0.0
ORGANIZATION_TYPE_Electricity,0.0
ORGANIZATION_TYPE_Industry: type 4,0.0
ORGANIZATION_TYPE_Industry: type 5,0.0
ORGANIZATION_TYPE_Industry: type 7,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 9,0.0
ORGANIZATION_TYPE_Insurance,0.0
ORGANIZATION_TYPE_Kindergarten,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Legal Services,0.0
ORGANIZATION_TYPE_Medicine,0.0
ORGANIZATION_TYPE_Military,0.0
ORGANIZATION_TYPE_Industry: type 12,0.0
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
ORGANIZATION_TYPE_Industry: type 3,0.0
ORGANIZATION_TYPE_Housing,0.0
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Realtor,0.0
ORGANIZATION_TYPE_Postal,0.0
ORGANIZATION_TYPE_Police,0.0
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Security Ministries,0.0
ORGANIZATION_TYPE_Security,0.0
ORGANIZATION_TYPE_Restaurant,0.0
ORGANIZATION_TYPE_Trade: type 2,0.0
ORGANIZATION_TYPE_Trade: type 3,0.0
ORGANIZATION_TYPE_Trade: type 4,0.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Trade: type 6,0.0
ORGANIZATION_TYPE_Services,0.0
ORGANIZATION_TYPE_Telecom,0.0
ORGANIZATION_TYPE_Trade: type 1,0.0
ORGANIZATION_TYPE_Transport: type 2,0.0
ORGANIZATION_TYPE_Transport: type 1,0.0
ORGANIZATION_TYPE_Trade: type 7,0.0
ORGANIZATION_TYPE_Transport: type 3,0.0
ORGANIZATION_TYPE_XNA,0.0
HOUSETYPE_MODE_specific housing,0.0
ORGANIZATION_TYPE_University,0.0
ORGANIZATION_TYPE_Transport: type 4,0.0
WALLSMATERIAL_MODE_Block,0.0
HOUSETYPE_MODE_terraced house,0.0
WALLSMATERIAL_MODE_Monolithic,0.0
WALLSMATERIAL_MODE_Mixed,0.0
WALLSMATERIAL_MODE_Others,0.0
WALLSMATERIAL_MODE_Wooden,0.0
EMERGENCYSTATE_MODE_No,0.0
EMERGENCYSTATE_MODE_Yes,0.0
